N,SongName,SongString
1,timeformuehlebach.mid,-4+4-4+4-4+4-4+4-4+4-4+4-4+4-4+4-4+4-4+4-4+4-4p-10p+30-2+2-2-1p+1p+2-3+10
2,daybyday.mid,p0-4+2p+2-4+2p0p0p00+5p-3p-4p+2-2+20p0p0p+50+2p-3-20p+30p0p+2p-3-2p0p+1-1p+1p+2p0p-3-2p-2+2p+2p-2+2p0p0-4+2p0
3,begood.mid,+1-1-4+2-20-30-2
4,dirlada.mid,p0+20+2-4p00+20+2-4p+20+2-2-2-1+3p-20+20+2-4p-30+2+1-1-2p00+2+1-1-2p+300+2+2-4p000+2+2-4
5,kansas.mxl,p-2-2-1+1+4+5-2-2-6+1+1p+3-2-3-7-5p+18-1-2-1+1+3+7-1-2p-5+1+1+3-2-3-4-8p+12-2-2-1+1+4+5-2-2-8p-7+3+2+4-2-4-3-2-1+5-2-2p
6,confessing.mxl,+5-1-6-1+6-1-5+3-2-1-1+10p+3+5-1-6-1+6-1-5+3-2-1+3+50-8+1+1+1+7-2-5+1+10+3-10-20p-2+5-1-6-1+6-1-5+3-2-1+3+50p
7,tonighthesailedagain.mxl,p-8+1+11-20p-4-4+1+7-20p-3+5-200-2+4-5-2-2+2+2p+3-8+1+11-2-4
8,menusong.mxl,p000000000000000000000000000000+20000000000000000000000000000000-200000000000000000000000000000000000000000000000
9,ithinkaboutyou.mxl,00000-2-2+2-20+40000-2-2+2-20+4-2-200p00+2+20p-40+400-2-2+2-20p+4000-2-200+4-2-200p00+2+20p
10,phantomoftheopera.mxl,p+5-5+3-200-3+7-7+2p0+5-5+5-400-3+5-5+2p0+5+3+4-2000+5-5+2-9-20-1+170-2-2-1-2-2-1-2-1-1-20-100p+5+5-5+3-200-3+5-5+200+5-5+3-200-3+5-5+2p0+5-5+12-2000+5-5+20p0+50-2-2-1-2-2-10-3-1-20-100p
11,whereareyounow.mxl,pp+2+1+2-2-1-2-2+5-1-2-2p+4+1-100p-2p+2+30-2-1-2-2+5-1-2-2p+4+1-100p-4-1-200p
12,themetodayshow.mxl,p+3+20p+2-4+20p+30+2-3-4+2000+2+30+2-4+20p-20+2-30-4+2+20
13,themeatimetolove.mxl,p+3+4+1-5p-30p+2+6p-120p+11-5p-60p+40+2+1+4-16p+14-5p00p-10+1+2+3p-100p+9p-50p+4-3+4+3p-11p+12-5p-30p+2+6p-120p+11-5p-20p00+2+1+4-16p+14-5p00p-10+1+2+3p-100p+8
14,gehtsparkasse.mid,p+1-1-4+2-20
15,whisper_to_me.mxl,-1-7+700-2+2-2-5+3000-2-1+10p00+7-3-4+70-1-4-3+7-7+500+2+1
16,goodnight.mxl,p+2-2-5-3+5-1+1-5+3+5+2-2-5+2+20p-4p0p+5-8+3+4-2-50p0+3+5-8+3+4-2-40p0-1-2-1-11-3+220+300-3-1+1+5-3-2-1-1
17,themetodayshow.mid,p+3+2p+2-4+2p+30+2-3-4+2000+2+30+2-4+20p-20+2-30-4+2+20
18,chatterbox_carew.mxl,+5-5+2+3+400-2-7+2+3-5+2+3+400-2+5+2+5-3-2-2-30-2-2+4-2-2-1+1+2-7+2+3-5+2+3+400-2-7+2+3-5+2+3p+400-2+5+2+5-3-2-2-30-2-2+4-2-2-1+1+2+8+2+20-4+2+2-2-2-3
19,uncantoagalicia.mid,p0+1+200+2-2+4-90+2+100+2-2-1p00+1+200+2-2+4-90+2+100+2-2-1p00+1+2-3+3+2-2+4-90+2+100+2-2+4p-50+1+2-30+3+2-2+4-90+2+10+2-2-1
20,word_warning.mxl,p00p-1-3+1+3+40+30-3+3-10p-700p-2-3+1+4+3+40-4+4-2p0+3-3-50-2+50000p0+2-500+5+2+100p-100p-600p-1-3+1+3+4+30-3+3-10p-700p0-5+1+4+3p+30-6+6-1
21,fence.mxl,p+5+2+20-1+10-1+1-2-2+2+20+1-1-20-3+1+20-1+10-1+1-2-1+1+2+50-2-1-4+2+20-1+10-1+10-2-2+5-1+10+4-5+1+2+2-1+1-2-2-1-1+1+1+2-1+1+2+1-1-2-2-10-2-200000-3+2+1-1-2+2+1-1-2+2+1+2-2-3-2
22,bali.mxl,p+30-1+1+2-2-1+1p-3+12-40p-50-1+1+2-2-1+1p+40-9+50-1+1+2-2-1+1p+10-30-7+2-1+1+2-1+1p+1p+4p-4p-8+1+2-2+2+2-2-2+2p-3+12-40p-50-1+1+2-2-1+1+40-9+50-2+2+2-2-2+2p0+1+9-30p-5-1+1+3-1-1+1+5p-400+2+1+1-2-2-1
23,o_gladsome.mxl,000-2+2-2-2-1+30-2+2+2000-2+2-2-2000+2+2+1-1-2+2+1+2-3-2-2-10-2+20+100+500-1p
24,does_anybody.mxl,p-3+1+1+1+2-2-1+1p+9-40-5+1+1+2-2-1+1+50p+2-4+2-3+1-3+2-4+2-4p-1+1+1+1+1+3-2-2+2p-50+3-3+1+1+1+2-2p-1+1p+9-40-5+1+1p+2-2-1+1+5p-6+10p+3+2-3+1-3+2-4+2p-4+600+1-3+2-4+2-4+2p-3+50-2-3+1+1+1+2-2-1+1p+9-4-1+1+4-2+3-1-40-5+50p
25,shepherd.mxl,p+5+2+1+3+1+2-2-1-3-10-2-1-3+3-4+1-1-2+2p+60+2+20+2-2+20+2-2-100-5-3+5p+2-3-2-3+5-20p
26,thehappywhistler.mxl,0+50p0+4+3+2-2-7p+4-2-2-3-2+90-4+2p-70+50+4+3+2-2-2-1-2-2-3-2+90-2-2p+7+20+30-3-2+2-2-30-2-20+4+30-3+3p0+20+300-3-2+2-2-30-2-2-3-2+90-2-2
27,girlinthedark.mxl,+8-1-2+2-2+2-7+8-1-2+2-2+2-2+8-1-2+2-2+2+1-9p-4+8-1-2+2-2+2-7+8-1-2+2-2+2-2+8-1-2+2-2+2+1-9p-4+8-4+3-20+7-2-2+2-5+3-3-5+1+4+2-2+7-4+5-1+1-3+2+5+3-1-5+6-1
28,spider.mxl,p-3-1+1+7-2-2-2-4+3-2+3-4+1+10-1-700+4+3+5-20-1-1-10+4+3+5-2-10+1+1+1+20-5+3-2-80+3+4-20-40+60-1+1+3p-5+2-2-2+9-7-1+1+4+3-3-4+7-2-5+2+1-3+2p-4+5-1+1-1-3+3-2-9+9-20+300-1-5+30-2-1+1-10-1+1+1-1+1+2-1+3-2-10+1+2-3-4+90-2-2p
29,mysweetlord.mxl,p0-300p+30-3-2+2-2p+50-300-2p+2+3+2+3-3+30p-5+2+3-3+300p-5+2+3-3+3000-8+1+20+3-1-20-3-200p+5-3000
30,timeformuehlebach.mxl,-4+4-4+4-4+4-4+4-4+4-4+4-4+4-4+4-4+4-4+4-4+4-4p-10+30-2+2-2-1+1p+2-3+10p
31,daybyday.mxl,p0-4+2p0p+20-4+2p0p000+5p-3p-4p+2-20+20p0p0+500+2p-3-20p+300p+2p-3-20p+1-1+10p+20p-3-2-20+20p+2-2+2p0p00-4+20p
32,roses.mxl,-2-2-1+1+4+3+1+1-4-1-2-1+1+3+4+1+1+3-2-10+1+2-20-4+1-100+10-500-2-2-1+1+4+3+1+1-4-1-2-1+1+3+4+1+1+3-2-10+1+2-20-6+3-100+10-2000p
33,hessofine.mxl,p-3-200p+50-3-2+2-2p+50-3-2+2-4+200p+500-30-4+4-2p+50+2+3-5+5-3p+300p-5+2+5-20-3+3p-5+2+3-3+3+2-50+3p-5+2+30-3+300p-5-3+300-3-20p+5-3-2+2-4+20p0p+5-3-2+2-4+200p0-2+7-3-2+2-4+20
34,letitend.mxl,0-2+2+2-2-2+2+2-7+2+3+2+1-1-2+2+1-60+5+1+2-2-1+1+2-5-2+2+20+1+2+20-2-2+2+2-70-2+2+2-2-2+2+2-7+2+3+2+1-1-2+2+1-60+5+1+2-2-1+1+2-5-20+2+2+1+2+200-2+2+200-2+2+100-1-2+300-1-2-2000+2+20-1-1-2-2000+2+1-1+1-20-200p+5+2+1
35,light_myLife.mxl,pp+3-3+5-5+3-3+5-5+3+2+2+1-7p00p+4-4p+6-6+4-4+6-6p+4+2+1-10p-7p00p+3-3+5-5+3-3+5-5+3+2+1-1+500+2-2-2-1+3-2-3-4-1-2+6-6p+5-3+3+4-2-5+300p-3+3+4-2-5+10p-3+3+7-1-9+3+6-20-2-5+5-4+1+30p-3+3+4-2-5+300p-3+3+3-10-2-20p-3+2+1+11-2-2-8+30p+4-20+8p0+2p-30-40p
36,niveau.mid,p+2+1-1-2p0+2+1-1-2p0+2+1-1-2-2+7-2-1-2p0+2+1-1-2p0+2+1-1-2p0+2+1-1-2-2+7+2-4-1p-2+2+1-1-2p0+2+1-1-2p0+2+1-1-2-2+7-2-1-2p0+2+1-1-2p0+2+1-1-2p+1000000000-7-3
37,wishing_song.mxl,p+5-1+1-1-7+3+4-2+2-2-6+1+3000-2-1+10-1+1+9-2+2-2-8+1+7-1+1-1-10+1+70-7+60-6
38,old_eli.mxl,+50-5+1+100+80-8+7-20-7+120-3-4-100-1+1+3-8+5-2-200+50-5+1+100+80-8+7-20-7+120-3-4-4+10+3+2+200-2-20p
39,rendezvous.mxl,p-1+10-1-2-2+2-2+20-2-2-1+1-1+10-1-2-2+7+7000-1-2-2+2-2+20-2-2-2+2-2+20-2-1-2+7p+3-1+10-1-2-2+2-2+20-2-2-1+1-1+10-1-2-2+9
40,mojoworkout.mxl,0000-5+3+2p0-3+30-5+3+2p-5+3+2p00-5+5000000-5+3+2p-20-3+30-3+3-300p0000-2-2-30p-1+100-2+200000+40-5+10000000000-1
41,gotmymojoworking.mxl,0+4-6-1+1-1-40+700-3-4000p+700-2-1+1-1-40+12-5-2-1-4000+4+1-1+10-1-4+7-7+70-2-1-4000+12000-1+1000000-1+1000000-1+100p
42,ithinkaboutyoutwo.mxl,p0-1-20-2+2-200+2-20p0+2-20-7p+120-1-20-2p0+2-20+2p+3-3-20-7p
43,muehlebachbeersmith.mxl,-5+5-5+5-5+5-5-7+120-5+2+1+2-30-5+1+2+2-40-1+1+2-3+10-50+120-5+2+1+2-30-5+1+2+2-40-1+1+2-3+1
44,downunder.mxl,p-2-2-1-1-1-1-1+4+3p+2-2-2-1-1-1-1-1p+9000+100-1-4+4-4p+4-2-2-1-1-1-1-1p+12000+200-2-3+3-30-2-2-1-1-1-1-1p+9000+100-1-4+4-4p-3+1+10p+13-10p-14000+3+4-2-2-1-2p+12-2-2-1-2-2+2+2+3+2-2-2+6-20p-12000+3+4-2-2-1-2p+12-2-2-1p-2-2+2+2p+3+2-2-2+6-20p-12000+3+4-2-2-1-2+7-2-30-1-1-10p+8-2-2-1-1-1-1-1p+9000+100-1-4+4-4p+7+1+1p+1+1+1-10p-4+2p-2+2p-2+2p-2+2p-2+2-2+2-2+2-2+2p-2+2-2+2-2+2-2+2
45,hey.mxl,p-12+12-20-1-200-2+7p-12+9-20-20-10-2+2p-4+2+2+1+4+1p+4p-12+2p-4+2+2+1+2+2
46,muehlebachbeersmith.mid,-5+5-5+5-5+5-5+5-5+5-5+5-5+5-5-7+12-5+2+1+2-30-5+1+2+2-4-1+1+2-3+1-50+120-5+2+1+2-30-5+1+2+2-4-1+1+2-3+1
47,lady_divine_pt2.mxl,-7+5000-1-9+5-20p+2p-1p+1-2p0+2+7-2-1-1p-1-6+1p+5-400-1p+1-4p+1+3+7-1-2-2p+4-2+2p-4
48,sognonostalgico.mxl,+8-1-2+2-2+2-7+8-1-2+2-2+2-2+8-1-2+2-2+20+1-9p-3+7-5+4p+3-2+2-5+3-30-4+4+2-2+70+1-1+1-3+2-7+3-1-2-1+1+2
49,jeanniemichele.mxl,p+1+200-6+60-200-6+60-1000-2-2+20p+2+1+200-6+60-200-6+5+1-1000-4+4+30p
50,perhaps.mxl,p+2-2+5-3-2-3-2p0+2-2+5-3-7p-2+2+2+3-2-1+1+7p-5+2+5-5-1+1p+3+2-2+5-3-2-3-2p0+2-2+5-3-4p0+2+2-2-2+2+2+7-2p-9+2+2+70-4p
51,lady_divine_pt3.mxl,0+3-1p+1-2p0+2+7-20+2-2+4-2-500-1+1+7-2-3+1-8+7-2-5+1+2+2+2+5-4p-5+50
52,mygodanditwo.mxl,+30p0-3+300-30-2p00+2p+10+40-2-2-1p0+1+2+20+30-1-20-2p-3+3+5-1-2-20-2-3+2p
53,lifeisarock.mxl,0-2+1-1-3-2-2+1-40-20-3p-2+1+10+500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000+7-3-2-20p00+2-2+2+50p-70+2-2+2+2-4p00+2-2+4
54,dakota.mxl,+50+7-13+5000-5+5-2+50+3-2p-9+3+3+3-7+6-2+5-3+5-2+5-14+4+2+3+4p+5-2+2-4p-1-1p+7p-7+2+2+2-6p+9+2+2-2-5+3-15-4+2-7p+8-1-20-4+2-2-3p-2+50p+14+9-2+2-3p-2+1-1-2-5+5
55,prelude.mxl,0p+5+2+2-2-2-8+15+2-4+4-9+7-2-3-3p-2+5-7+2-2+7-7+2-2+7+5p+2-5+5-5+1-1-2+7-5+5-5+1-1-2+700000-2-2+2p-5+700000-2-2+2p-5+7p-5-9+5-5+2-2-2+7-5+5-5+2-2-2+7+40-400-1-2+2p-6+700000-1-2+2+1p+4-5+5-5+1-1-2+7-5+6-6+1-1-2+700000-2-2+2p-5+700000-2-2+2p-5+7p+3-5+5-5+2-2-2+7-5+5-5+2-2-2+70000+20-20000+20-2p+4+1+2-7+2+2+1+2p+2-1+1+2-7+2+2+3+1+2-7+2+2-1+4+2-2p-2-1-2-2-1+7-9p
56,calledlove.mxl,p-6-300+3-2p00-1000-4+1p+60-300+30-1-1p00-1000-400-3p+150-300+30+2-3p0-2-40+1+30-2-3p+3000-300+30+2-2-2p00-100+8
57,myownsweet.mxl,+2+2p+1+2+2+5-2-3-2-5p0+5-2-1+1+2+7-2-5+1+1p-9+2+2+1+2+2+5-2-3-2-5p+12+2-2-2-1-1-3-5+2+10p-1+1+2+2+1-1-2-2-1+3-2p-1+1+1+1-5+8-1-2-2-1p-4+2+2+1+2+2+5-2-3-2-5p+12+2-2-2-1-1-3-5+2+10p
58,lady_divine_pt1.mxl,-5+2+2-2-8+1+9-4+2+2-4-3+1p+7-5+2+2-2
59,o_light.mxl,000-2+2-2-2-1+30-2+2+200-2+2-2-2-1+10+2+2+1-1-2+2+1+2-30-2-2-10-2+20+10+500-1p0p00000-10+1-5+1+2+2p+300-2p
60,light_myLife.mid,pp+3-3+5-5+3-3+5-5+3+2+2+1-7p0p+4-4p+6-6+4-4+6-6p+4+2+1-10p-7p0p+3-3+5-5+3-3+5-5+3+2+1-1+50+2-2-2-1+3-2-3-4-1-2+6-6p+5-3+3+4-2-5+30p-3+3+4-2-5+1p-3+3+7-1-9+3+6-20-2-5+5-4+1+3p-3+3+4-2-5+30p-3+3+3-10-2-2p-3+2+1+11-2-2-8+30p+4-2+8p0+2-3-40
61,tillyou.mxl,p+8-8+3-20p-3+9-9+3-10p0+5+3+4+1-1-20p0-3p-7+8-8+3-20p-3+9-9+3-100p0+5+3+2-20-1
62,twilightwaltz.mxl,p0-12+24p-24-2+2p+100-12p+120-12p+120-12+24p-24-3+3p+11+12-24+24-120-12p+10+12-24+24p-24-2-3p+20+12-30+30p-30-2-2p+10+120p+2+2+3-12-12p+21+3-12+12p-12-3+3+70+4p0-12-6+2+2+20+1-1-7p+17+3-15+17-2-3-12p+100-12+12p-12-2-3p+14+3-15+17p-17-2-2p+11+12-24+24p-24p+13+2+15-20+20+1+4-20-1+3-20-1+1-10+1+1+1+4-20-1+3-20-1+1
63,desert_song.mxl,+1+6-20-8+1+2+10+7-10-8+10+1+1+1+1+8-2+2-40-9+1+7-20+7-5-2-2+2-2-3+1+6-20-8+1+2+10+7-10-8+1p
64,littlespanishtown.mid,p+4+3+3-2-10-2-2-1-2+7-9+5+4p-2-2+2-7+4+3p-2-1+1-5+9-4+9-2+5p-17+2+3-1+1+2+2-2-2-8+1+2+2-50+1+2+2-4p+4+2+3-1+1+2+1-1-2-5+2+1-3+5-5+2+1-3+5+1+1-9+5+4p-2-2+4-9+5+4p-2-2+2p0-7+4+3p-2-1+3-7+4+3p-2-1+1p-5+2+3-1-2-2+10-1-2+3+2-3p0-9+5+4p-2-2+4-9+5+4p-2-2+2p+3-9+3+6p-1-2+3-9+3+6p-1-2+2p-7+4+3+3-2-10-2-2-1-2p+7-9+5+4p-2-2+2-7+4+3p-2-1+1p+4-9+5+4p-2-2+4-9+5+4p-2-2+2p0-7+4+3p-2-1+3-7+4+3p-2-1+1p-5+2+3-1-2-2+10-1-2+3+2-3p0-9+5+4p-2-2+4-9+5+4p-2-2+2p+3-9+3+6p-1-2+3-9+3+6p-1-2+2p-7+4+3+3-2-10-2-2-1-2p+7-9+5+4p-2-2+2-7+4+3p-2-1+1
65,whisper.mxl,-1-7+3+40-2+2-2-5+3000-2-1+1p0p00+7-3-4+70-1-4-3+7-7+500+2+1
66,youdbesonice.mxl,+5p-20-1-2-1+1-50-1+1+5-20-3-2-20+2+2+10-10+4+3+3-3+10+2+1+1-4+3-3-100-2+2+1-10-2-1+1-500+1+4+3-3
67,pourtoi.mxl,0-70p0+2p+10-1-2+7-70p0+2+10-1-2+7+500-200+2-2-2-10p
68,whilewedream.mxl,-1-2-2+2-2-7+2+200+3+2-4+4+2-4+7-2p-80+8-8+3+4-2-500+3+5-8+3+4-2-40-1+1p+9000-2-10+3+7-10+3+4+2
69,janine.mid,p+1+2+2-5+1-3+2+1-3+2+1
70,vagyok.mxl,p+2-2+5-3-2-3-2p0+2-2+5-3-2-3-2p-20+20+30-3+300-3+3-3+200-4+4-4+2p+10+2-2+5-3-2-3-2p0+2-2+2-2+2-2-2p00+20-2+2+1+1p0+5-5+3-3-9+2+3
71,mizpahshalom.mxl,p+1+4+3+5+2+2-5-2+2+1-3-11+1+3+3+6+1+2-5+2-2-50+1+4-2-3+3-200+4+2+1+2-3-2-2p+8-4-2-20-8+1+4+3+5+2+2-5-2+2-20
72,idreamed.mxl,p+5-1+1-1+1-1+10-1-2-2+2-2+2-2+20-2-2-1+1-10+1-1-2-2+70p+2+5-2+2-2+2-2+20-2-1-2+2-2+2-2+20-2-2+2+2-2-2+20-4+2p0+5-1+1-1+1-1+10-1-2-2+2-2+2-2+20-20-2-1+1-1+1-1-2-2+70
73,messiah.mxl,p-1-2-2+2+2+1+2-3+300-2-1-20+3-1-20p+3-1-2+2+1+2+2-4+40+2+1-5-30+3-2-10p0-2-2+2+2+1+2-3+30+2+10-1-2-2-1+50p
74,itallcomes.mxl,pp000-4-10-2+20+3-2-30+20+3-2-3-5+30+9000-4-3p
75,getoveryou.mid,-2-3-2-2-3-2+2+3-3
76,es.mxl,p+30-20-10-2+2+1-6+3p+30-10-20-2+2+2-5+3p+30-10-20+2+1-3+3-10p+5000+80-10-20-20-1-7+300+90-20-20-1-2-2-3+3+20+50-20-10-2-2-2+4-20p+2p0+8-10-20-20-1-7+3p0+9-20-20-1-2-2-3+1p-3+2+1-3-20p
77,iloveyouyesido.mxl,p000-300+2000-400-3+5-20-20p-5+2
78,kalamazoo_warren.mxl,000000000000+4+3+500-3-2-70000p+70-2-3+50-2-3+50-2-3+50-2-1-4000000000000+4+3+500-3-2-70000p+70-2-3+50-2-3+50-2-3+50-2-1-4000000000p
79,keeponsingingtwo.mxl,p+90000+1-10-4+2-2+2+2-700+50-2+20+2-20-7+2+30-3+3-5+2-2000+9000+1-100-4+200+2-700+5000-2+40-20-700+2+3-3+3+2-200+2+20-2-2+40-2-20+2-2+2-2+2+2-7+50-2+2-2+2-2+40-2-700+2+300-3+30p
80,beginthebeguine.mxl,p+2+500-3-2+20+1p-50+2+7+2-2+2-2+2-2+2+1+2-1+1-2-1-2-1+1+2+1-1+1+2+1-1-2-1-20-2-200000-3+2+1-1-2+2+1-1-2+2+1+2-2-3-2
81,reich.mid,p+2+1-1-2p0+2+1-1-2p0+2+1-1-2p+5p-2p-1p-2p0+2+1-1-2p0+2+1-1-2p0+2+1-1-2p+5p-2p-1p-2p0+2+1-1-200+2+1-1-200+2+1-1-20+5-2-1-200+2+1-1-200+2+1-1-200+2+1-1-20+5-2-1-20
82,kalamazoo_arnstein.mxl,-50-3000-4+4+3-7-5+5+40-4+4+3-7-5+5+4+8p-5+2+2-4p+5p0+2-2p-8000+800+2-3p-8000+900+2-3p-9000+100p-12000-200p+9000-90000p+8000-90000+80000-90000p+8000p-9p+12+2+2+1p-3-2-2-10+5-2-20+4-2-2-1+5-2-2-1+5-2-2p-7p0p-1p-2-1p
83,pourtoi.mid,0-70p0+2p+1-1-2+7-70p0+2+10-1-2+7+5-200+2-2-2-10
84,whereareyou.mxl,p+2+1-10-200p+20+1-1-20p0+2+1-10+3-30-2p+3-1-20p
85,sadness.mxl,-1-2-5-4+4-20+9-3-4-2-2-1-20+15-1-2-5-4+4-20p+2+2+2+3-3+10p0-2+2-2-5p+3-100p+3+2-2p
86,littlespanishtown.mxl,-9+5+40-2-2+4-9+5+4+5-70-2+2p0-7+4+300-3p+3-7+4+300-3p+1p0p0-8+5+2-2p+3-8+5+2-2p+2-70p+7-7+7-2-2+4-7+7-2-2+2-50p
87,someday_prince.mxl,+5-4+3-200+8-4+3-20+2+1+200+400-40-3+1+200+400-40p-12+5-4+3-200+8-4+3-20+2+1+20+7-2-11+1-1+1+9-2-2000000
88,loopdilove.mid,p0+2+2-4p00+2+2-4p+2+2+1-1-2p-20+2+2-4p-3+2+1-1-2p0+2+1-1-2p+30+2+2-4p00+2+2-4
89,heartbeat.mid,-2-3-2-2-3-2+2+3-3
90,keeponsinging.mxl,00-2-2+40-4+4-2-2+40-20000+2-7+50-2-1+30+50-2-1p0-2-2+400000000000-20000+2-2-5p+50000+50000-2-1000-2-2+40-40000+2+100-10-2+20
91,motheranddad.mxl,+1p+1-2-1-1-1-1+10+3+1+1-2-3-4+4+5-200-1-1-1-1+1+3-1-1-1+5-500-2-2-1-3+1+50+2+1+2-2-1-4+2+2-20+2+1+2-2-1+1-8+3+40p
92,bisschenfrieden.mid,p0+1+200+2-2+4000+1+20-2-1-20-2-30+1+200+2-2+4000+1+20-2+4-2-2-80+1+200+2-2+4000+1+20-2-1-20-2-30+1+200+2-2+4000+1+20-2+4-2-2
93,el_rancho_anonymous.mxl,+12p00p-10p-2+3p+2-2+2+1+1-60p-10+2-2-1+1p+10p-3p-7p+2p-2+2p-2+9p-4-5+2-2p-3+3+5+40-9+5+4p+3-2-1+3-80-4+4+3+9-2-2-2-1p0p-9+5+4p+3-2-1+3-80-4+4+3+9-2-2-2-1p
94,blessees.mid,p+1+2+2-5+1-3+2+1-3+2+1
95,shalom.mxl,+12000+1-1-4+4+1-1-2p0p0p-10p0+10000+2-2-3+30p0-3+2p+1-1p-10p-3p+1200p0+2p-2-3+3+2-2-4+3p+1p-5p00-12+12000+1-1-4-1-1-1+2+1+1+3-2+5-3p-4-1p-1p-1+2+1+1+3-2+9-3-3-1+3-3-3+1-3-20
96,ilpostino.mxl,p+3-3+30-3+5-5+300+2-20-2-1+1+7-7-100+1-10-2-1+1+5-8+3-2-1+1+4+3+5-1+1-3+2-4p-15+3-3+30-3+3-3+300+2-2+2-2-2-1+8-8+1p+12+2-2-1-9+9-9+9p0+3-3-2-7+7-7+7p0-2-1+1
97,superstring.mid,p+2+1-3p-2p+2p+2+1-3p-2
98,greengrassgrows.mid,p+2+1-3-20p+2p+2+1-3-2
99,starlight.mxl,+5-1-5-1+50-10-5+3-2+2-2-1-1+10p+3+5-1-5-1+5-1-5
100,chatterbox_jerome.mxl,+3-7+4+3-7+4+3-7+2+3-1000+7+3-10+7+3-10+7+3-10+5+4-9000+2+2+1+2-2-1+800-2+2-2+2-2+2-2-1000+3-8+5+3-7+4+3-7+2+3-1000+7+3-10+9+1-10+7+3-10+5+4-900
101,amothersprayer.mxl,+5+2p+1-1-20-1+1+2-5+2p-4+10-2-10-2+2+1-1-2p-5+12-2-20+2+2+1-1-20+2+1-1-12+4+3+5-2-3-2-5+5+2+1-1-20-1+1+2-5+2p-4+10-2-10-2+2+1-1-2p-5+12-2-20+2+2+1-1-20+2+1-1-12+4+3+5-2-2-3p
102,lady_love.mxl,-2-1-3+1+3+7-1-2-2-3-5+1+4+7-2-2-2-4+1+9-2-6+1+10-2-1-20+2+1+4-2-2-1-2-2-2-1-3+1+3+7-1
103,feelings.mxl,-70+5-5+2+1-3+7-70p0+2+1-3+70-2-2p-1+1+4p+5-900p+9-2-2-1+1+20p-2-1-2+30-1+1p0-1-2-2+2+2p
104,evangelimann.mid,p0-1+1+9-40-1-40-1+1+10-1-10+1-60-2+1+10+2-2-20-1-2-2+2+2
105,nearyou.mxl,p-1p+3-2-1-1-2+100-1+2-1-1-1-3+10-1+1+2+2+1+4-2-1+3-2-5+2+2+1+2-1+1+2-2-4-1-2+5-1+3-2-1-1-2+100-1+2-1-1-1-3+1
106,howdeepisyourlove.mxl,+5+2+20-4+2+2-40p+1+1+2+1000-3+2+1-30p+2+1+2000-3+3+2-20-3-400+2+2+1000+2-3-20p-20+90000+3-3+50-3-400+2+30-3-2+20-2-3+3
107,sanfranciscobrewingad.mxl,+30+2+3-3+3-30-2-3-4+4p+3+2-2+3-1-2-2+2+2-14+40+3+5+2-2-30-2-2-3-2+120-2-1p-5+50
108,alla_rancho.mxl,p+300-20-10+1-1+1+1+1-5-3+3-2-1+3+50-5+50-20-1-4-5+5+4+3-2-1+3-8-4+4+3+3-1-2+2-4-5+5+4+3-2-1+3-8-4+4+3+3-1-2+2-4
109,gumtree.mxl,000+200-2-3+3-3+12000+100-1-4+4-40-3+2+1-3-2-3+1+2-2-1-4000
110,diesererde.mid,p0+1+20p0+2-2p0-2p-30+2p+10p0+2-2p0-1p00+1p+20p0+2-2p0-2p-30+2p+10p0+2-2p0-1p00+1+20p0+2-2p0-2p-30+2p+10p0+2-2p0-1p00+1p+20p0+2-2p0-2p-3+3+2p-20p+4-2-2p0-1
111,mitternachtstango.mid,-1+1+9-2-20-1p-4-1+1+10-1-1+1p-40+4+30+2-2-2p+2-2-1-1+1+1-1-2-2
112,mygodandi.mxl,+30-7+4+3-3+30-2-10-4+4-2-2+4-2p00+2-4-10+1p+50+40-2-2-3+3-1-2+2p0+1+2-7+2+2+50+30-1-2-4+4-2-2+40+30-1-2-40+40-2-2+4-2+9-4-5-2-1+30-3+7-2-20-2-3+5-2-10-2-3+10
